각/MM
오륙/MM
오른/MM
오만/MM
오십/MM
오십여/MM
오오랜/MM
온/MM
온간/MM
온갓/MM
온갖/MM
올/MM
와이/MM
왠/MM
외딴/MM
왼/MM
왼갖/MM
요/MM
요까짓/MM
요깟/MM
요따위/MM
요딴/MM
요런/MM
요런조런/MM
요론/MM
요만/MM
울/MM
워느/MM
워떤/MM
원/MM
웬/MM
윗/MM
유세/MM
육/MM
육시랄/MM
육십/MM
육십여/MM
육칠/MM
으떤/MM
으뜬/MM
이/MM
이까짓/MM
이깐/MM
이깟/MM
이대/MM
이따위/MM
이딴/MM
이러저런/MM
이런/MM
이런저런/MM
이룻/MM
이마/MM
이만/MM
이삼/MM
이십/MM
이십여/MM
일/MM
일고여덟/MM
일고여덟째/MM
일곱/MM
일곱여덟째/MM
일곱째/MM
일대/MM
일백/MM
일백여/MM
일여덟/MM
일여덟째/MM
일이/MM
일천/MM
일천여/MM
일흔/MM
작/MM
장장/MM
저/MM
저까짓/MM
저깟/MM
저따위/MM
저딴/MM
저런/MM
저만/MM
저지난/MM
저희/MM
전/MM
전전/MM
제/MM
제까짓/MM
제깟/MM
제미붙을/MM
제밀할/MM
젠장맞을/MM
젠장칠/MM
조/MM
조까짓/MM
조깟/MM
조따위/MM
조딴/MM
조런/MM
조만/MM
주/MM
주된/MM
주요/MM
즈/MM
즈믄/MM
즉석/MM
지/MM
지까짓/MM
지난/MM
지지난/MM
천/MM
천여/MM
첫/MM
첫째/MM
첫쨋/MM
총/MM
칠/MM
칠십/MM
칠십여/MM
칠팔/MM
타/MM
특정한/MM
팔/MM
팔구/MM
팔십/MM
팔십여/MM
표현/MM
한/MM
한갓/MM
한개/MM
한낱/MM
한다는/MM
한다하는/MM
한두/MM
한두어/MM
한두째/MM
한째/MM
해/MM
허튼/MM
헌/MM
현/MM
흔/MM
/undefined
