가/IC
비비비뱃종뱃종/IC
빌어먹을/IC
빠샤/IC
빠이/IC
빠이빠이/IC
뿌뿌뿌뿌뿌뿌/IC
삐리리삐리리/IC
상사두야/IC
상사뒤요/IC
상사디야/IC
새꺄/IC
서/IC
섬마섬마/IC
세발세발/IC
세상에/IC
숴/IC
숴이/IC
쉬/IC
쉬쉬쉬/IC
쉬야/IC
쉬이/IC
쉬이이/IC
쉬잇/IC
쉿/IC
스/IC
스으을/IC
시/IC
시발놈/IC
시이/IC
시장시장/IC
시팔/IC
십새끼/IC
십팔/IC
싸아어/IC
쌍/IC
쌍간나희/IC
썅/IC
써우르/IC
쏘리/IC
쒸/IC
쓰/IC
쓰벌/IC
쓰으벌/IC
씨/IC
씨발/IC
씨발놈/IC
씨발씨발/IC
씨버럴/IC
씨벌놈/IC
씨부랄/IC
씨부럴/IC
씨비/IC
씨씨/IC
씨이/IC
씨이잉/IC
씨이팔/IC
씨팔/IC
씹새끼들/IC
아/IC
아가/IC
아고/IC
아고매/IC
아고머니/IC
아고메나/IC
아구/IC
아구구/IC
아구구구/IC
아구메/IC
아그/IC
아그그/IC
아그그그그/IC
아나/IC
아냐/IC
아녀/IC
아녜유/IC
아뇨/IC
아니/IC
아니다/IC
아니야/IC
아니예/IC
아니오/IC
아니요/IC
아니유/IC
아니지/IC
아두/IC
아따/IC
아따메/IC
아리/IC
아멘/IC
아무러면요/IC
아무려나/IC
아무려면/IC
아무렴/IC
아무렴요/IC
아무리/IC
아민/IC
아뿔사/IC
아뿔싸/IC
아서/IC
아서라/IC
아서요/IC
아소/IC
아스서요/IC
아싸/IC
아쎄/IC
아씨/IC
아아/IC
아아뇨/IC
아아니/IC
아아니요/IC
아아따/IC
아아씨/IC
아아아/IC
아아아아/IC
아아아아아/IC
아아악/IC
아아이/IC
아악/IC
아암/IC
아앗/IC
아앙/IC
아야/IC
아야야/IC
아야야야/IC
아야야야야/IC
아얏/IC
아오/IC
아옹/IC
아요/IC
아우/IC
아웅/IC
아유/IC
아으/IC
아음/IC
아응/IC
아이/IC
아이갸/IC
아이고/IC
아이고나/IC
아이고매/IC
아이고머니/IC
아이고머니나/IC
아이고아이고/IC
아이고야/IC
아이고오/IC
아이구/IC
아이구매/IC
아이구머니/IC
아이구머니나/IC
아이구우/IC
아이그/IC
아이뜨/IC
아이씨/IC
아이아/IC
아이아이/IC
아이야/IC
아이이고/IC
아이이고오/IC
아이잉/IC
아이참/IC
아이코/IC
아이쿠/IC
아잇/IC
아잉/IC
아자/IC
아주/IC
아쭈/IC
아차/IC
아차차/IC
아참/IC
아쿠쿠/IC
아크/IC
아하/IC
아하이고/IC
아하하/IC
아하하하/IC
아함/IC
아항/IC
아효/IC
아후/IC
아휴/IC
아흐/IC
아흠/IC
아히/IC
악/IC
악아/IC
안/IC
안녕/IC
알나리깔나리/IC
알라/IC
암/IC
암요/IC
앗/IC
앗다/IC
앗따/IC
앗싸/IC
앗싸리/IC
앙/IC
앙앙앙/IC
애/IC
애개/IC
애걔/IC
애걔걔/IC
애고/IC
애고고/IC
애고머니/IC
애고애고/IC
애구애구/IC
애그/IC
애라/IC
애이/IC
애재라/IC
애쿠/IC
애해/IC
애햄/IC
앵/IC
야/IC
야아/IC
야아아/IC
야아아옹/IC
야아앙/IC
야앙/IC
야야/IC
야야야/IC
야야야야야/IC
야오/IC
야이/IC
야잇/IC
야호/IC
얀마/IC
얍/IC
얏/IC
얏호/IC
얘/IC
얘야/IC
얘얘얘/IC
어/IC
어거/IC
어고/IC
어구/IC
어구구구구/IC
어구어구/IC
어기야/IC
어기야디야/IC
어기어차/IC
어기여차/IC
어기영차/IC
어둥둥/IC
어디/IC
어디아니/IC
어디여/IC
어따/IC
어때/IC
어떤/IC
어라/IC
어랍쇼/IC
어럽쇼/IC
어마/IC
어마나/IC
어매/IC
어머/IC
어머나/IC
어머머/IC
어머머머/IC
어머어머/IC
어부바/IC
어비/IC
어뿔싸/IC
어사와/IC
어쉬/IC
어쑤/IC
어쑤우/IC
어아아/IC
어야/IC
어야께나/IC
어야디야/IC
어어/IC
어어디/IC
어어어/IC
어어어어/IC
어어어어어/IC
어어어어응/IC
어어어엉/IC
어어엉/IC
어어오/IC
어어이/IC
어엉/IC
어에에/IC
어여차/IC
어영차/IC
어옹/IC
어와/IC
어와호/IC
어우/IC
어우야/IC
어웅/IC
어유/IC
어으/IC
어음/IC
어이/IC
어이고/IC
어이구/IC
어이구나/IC
어이구머니/IC
어이구머니나/IC
어이구야/IC
어이그/IC
어이샤/IC
어이세/IC
어이썅/IC
어이쒸/IC
어이씨/IC
어이야/IC
어이어이/IC
어이쿠/IC
어이쿠나/IC
어잇/IC
어절씨구/IC
어째서야/IC
어쩌면/IC
어쩜/IC
어쭈/IC
어쭈구리/IC
어쿠/IC
어쿠우/IC
어허/IC
어허둥둥/IC
어허디야/IC
어허야디야/IC
어허어/IC
어허어허/IC
어허우어어/IC
어허허/IC
어헉/IC
어험/IC
어홍/IC
어화/IC
어화둥둥/IC
어후/IC
어휴/IC
어흐/IC
어흐어흐/IC
어흐흐흐/IC
어흠/IC
어흥/IC
억/IC
얼/IC
얼라/IC
얼래/IC
얼래래/IC
얼럴럴/IC
얼레/IC
얼시고나/IC
얼싸/IC
얼쑤/IC
얼씨고나/IC
얼씨구/IC
얼씨구나/IC
얼씨구나절씨구나/IC
얼씨구절씨구/IC
엄/IC
엄엄/IC
엇/IC
엇쉬/IC
엉/IC
엉엉엉/IC
에/IC
에고/IC
에고에고/IC
에구/IC
에구구/IC
에구머니/IC
에구머니나/IC
에구머니야/IC
에그/IC
에그그/IC
에그머니/IC
에그머니나/IC
에기/IC
에기나/IC
에기야/IC
에꼬/IC
에꾸/IC
에끼/IC
에따/IC
에또/IC
에라/IC
에라이/IC
에렐렐네/IC
에렐렐넬/IC
에루화/IC
에미럴/IC
에비/IC
에비다/IC
에야디야/IC
에어야/IC
에에/IC
에에그/IC
에에에/IC
에에에에에에/IC
에엑/IC
에엣/IC
에엥/IC
에우/IC
에유/IC
에이/IC
에이고/IC
에이구/IC
에이구머니/IC
에이그/IC
에이끼/IC
에이시/IC
에이쒸/IC
에이씨/IC
에이여라/IC
에이이/IC
에이치/IC
에이히/IC
에익/IC
에잇/IC
에잉/IC
에참/IC
에쿠/IC
에쿠나/IC
에쿠쿠/IC
에크/IC
에크나/IC
에키/IC
에헤/IC
에헤야/IC
에헤에/IC
에헤에야/IC
에헤잉/IC
에헬렐넬/IC
에헴/IC
에휴/IC
에휴우/IC
에흐/IC
엑/IC
엘넬넬/IC
엣/IC
엥/IC
엥이/IC
여/IC
여보/IC
여보게/IC
여보게나/IC
여보게에/IC
여보세여/IC
여보세요/IC
여보셔요/IC
여보셔유/IC
여보소/IC
여보쇼/IC
여보슈/IC
여보시게/IC
여보시오/IC
여보시요/IC
여보십시오/IC
여보오/IC
여보이소/IC
여봐/IC
여봐라/IC
여봐요/IC
여부세요/IC
여부쇼/IC
여부슈/IC
여어/IC
여차/IC
열중셧/IC
열중차렷/IC
열차/IC
염병할/IC
엽세요/IC
엿단쇠/IC
영차/IC
영차영차/IC
영치기/IC
영치기 영차/IC
예/IC
예끼/IC
예라/IC
예미랄/IC
예스/IC
예에/IC
예에끼/IC
예에에/IC
예예/IC
예예예/IC
예이/IC
옌장/IC
옘병할/IC
옛/IC
옛다/IC
옛소/IC
옜네/IC
옜다/IC
옜소/IC
옜습니다/IC
오/IC
오냐/IC
오냐오냐/IC
오디/IC
오디어/IC
오라/IC
오라이/IC
오라잇/IC
오라질/IC
오래오래/IC
오마/IC
오마이갓/IC
오매/IC
오매오매/IC
오메/IC
오메야/IC
오바/IC
오야오야/IC
오예/IC
오오/IC
오오냐/IC
오오라/IC
오오바/IC
오오오옹/IC
오오옴/IC
오옳아/IC
오와/IC
오우/IC
오이/IC
오케/IC
오케이/IC
오호/IC
오호라/IC
오호어/IC
오호오/IC
온/IC
올레/IC
올커니/IC
올호라/IC
옳다/IC
옳다구나/IC
옳소/IC
옳아/IC
옳지/IC
옳치/IC
옴마/IC
옴매/IC
옴브레/IC
옵소/IC
옹야/IC
옹헤야/IC
와/IC
와따/IC
와따매/IC
와아/IC
와아아/IC
와예/IC
와우/IC
와이고/IC
와하/IC
와하하하/IC
왓하하/IC
왓하하하/IC
왕/IC
왜/IC
왜에/IC
왝/IC
외이고/IC
요/IC
요런/IC
욧시/IC
용용/IC
우/IC
우겨/IC
우라질/IC
우아/IC
우아아아/IC
우야꼬/IC
우야노/IC
우야훨훨/IC
우어/IC
우여/IC
우예/IC
우와/IC
우와앙/IC
우우/IC
우우아아아아아아/IC
우우아아아아아아아아아/IC
우우우우/IC
우우우우아아아아/IC
우우우우아아아아아아아/IC
우우우우우아아아아아/IC
우욱/IC
우웨엑/IC
우윽/IC
우이/IC
우이씨/IC
우째/IC
우하/IC
우하하하/IC
우해해해/IC
우헤우헤우헤헤/IC
우헤헤헤/IC
우화/IC
우후/IC
우후후/IC
우후후후/IC
우히히히/IC
욱/IC
욱욱/IC
움/IC
움쓰/IC
움하하하/IC
웁웁/IC
웅/IC
워/IC
워디/IC
워디워디워디/IC
워라/IC
워리/IC
워매/IC
워메/IC
워어리/IC
워어이/IC
워워/IC
워워워/IC
원/IC
웬/IC
웬걸/IC
웬걸요/IC
위/IC
위여차/IC
위이/IC
유/IC
육시랄/IC
육시랄놈들/IC
으/IC
으라차차차/IC
으르릉/IC
으매/IC
으미/IC
으싸/IC
으쌰/IC
으씨/IC
으아/IC
으아아/IC
으아아아/IC
으아아아아/IC
으아아아악/IC
으아아악/IC
으아악/IC
으악/IC
으앗/IC
으앙/IC
으앙앙/IC
으앙앙앙/IC
으어/IC
으엉/IC
으에잇/IC
으와/IC
으웩/IC
으유/IC
으으/IC
으으아아/IC
으으으/IC
으으으아악/IC
으으으으/IC
으으으으아아아아아아/IC
으으으으아아아아아아아/IC
으으으으으/IC
으으으으으아아아아아아/IC
으으으으으으으/IC
으으윽/IC
으으음/IC
으으응/IC
으으헉/IC
으으흐흐흐/IC
으윽/IC
으음/IC
으음으음으/IC
으읏/IC
으응/IC
으응응/IC
으이/IC
으이고/IC
으이구/IC
으이그/IC
으이씨/IC
으이휴/IC
으잉/IC
으째/IC
으카카카/IC
으크크/IC
으하하/IC
으하하하/IC
으핫핫핫/IC
으허허/IC
으헉/IC
으헤헤/IC
으휴/IC
으흐/IC
으흐으/IC
으흐음/IC
으흐흐/IC
으흐흐흐/IC
으흐흐흑/IC
으흐흐흠/IC
으흐흑/IC
으흐흑으/IC
으흑/IC
으흑으으/IC
으흠/IC
으흠으흠/IC
으흥/IC
으히히히히/IC
윽/IC
윽윽/IC
은냐/IC
을래/IC
을레/IC
음/IC
음냐/IC
음으으음/IC
음음/IC
음음음/IC
음음음음/IC
음음음음음/IC
읍/IC
응/IC
응가/IC
응야/IC
응으흐흐/IC
응응/IC
응응응/IC
이/IC
이거/IC
이구/IC
이그/IC
이끼/IC
이끼나/IC
이라/IC
이래/IC
이랴/IC
이랴이랴/IC
이랴이랴이랴/IC
이러/IC
이러언/IC
이런/IC
이바라/IC
이보/IC
이보게/IC
이보세요/IC
이보쇼/IC
이보슈/IC
이보시라우야/IC
이보시오/IC
이보오/IC
이봐/IC
이봐라/IC
이봐요/IC
이새꺄/IC
이씨/IC
이아/IC
이애/IC
이야/IC
이야차/IC
이어구/IC
이여차/IC
이영차/IC
이예/IC
이웨/IC
이잉/IC
이제/IC
이크/IC
이크나/IC
이크크/IC
이키/IC
이휴/IC
이히/IC
이히히히/IC
이히힛/IC
익/IC
익크크/IC
인까/IC
인마/IC
인자/IC
인제/IC
임마/IC
잉/IC
잉잉잉잉/IC
자/IC
자꾸/IC
자라/IC
자아/IC
자자/IC
자자자/IC
자장자장/IC
장군/IC
저/IC
저거/IC
저게/IC
저그/IC
저기/IC
저기요/IC
저런/IC
저어/IC
저어기/IC
저째/IC
절씨구/IC
절씨구나/IC
정말/IC
제/IC
제그랄/IC
제기/IC
제기랄/IC
제기럴/IC
제길/IC
제길할/IC
제길헐/IC
제미/IC
제미랄/IC
제미럴/IC
제미붙을/IC
제밀할/IC
제에기/IC
제에길/IC
제엔장/IC
젠장/IC
젠장맞을/IC
젠장할/IC
젠장헐/IC
젠젱/IC
조또/IC
조오또/IC
좀/IC
좋아/IC
좋아요/IC
죄암죄암/IC
죄죄/IC
죔죔/IC
쥐뿔/IC
쥐엄쥐엄/IC
즐/IC
지/IC
지금/IC
지기랄/IC
지기미/IC
지르르륵/IC
지미/IC
지미씨팔/IC
지화자/IC
짜샤/IC
짜식/IC
짜자짜자짠짠/IC
짝짜꿍짝짜꿍/IC
짠/IC
짹쪼그르짹쪼그르/IC
쩌/IC
쩟/IC
쯔쯔/IC
쯔쯔쯔/IC
쯔쯔쯔쯧/IC
쯔쯔쯧/IC
쯔쯧/IC
쯔쯧쯧/IC
쯥/IC
쯧/IC
쯧쯧/IC
쯧쯧쯧/IC
쯧쯧쯧쯧/IC
찌찌뽕/IC
찟/IC
차/IC
차려/IC
차렷/IC
차암/IC
참/IC
참나/IC
참내/IC
찻/IC
처/IC
처어/IC
천만에/IC
천만에요/IC
체/IC
쳇/IC
츠/IC
츠츠츠/IC
치/IC
치이/IC
칫/IC
카/IC
카라카라/IC
칵/IC
캐캐/IC
캐캐캐/IC
캬/IC
커/IC
컥/IC
컹컹컹/IC
케/IC
케에엑/IC
켁켁/IC
콩콩콩/IC
쿵깨내/IC
쿵쿵쿵/IC
크/IC
크으/IC
크윽/IC
크이/IC
크크/IC
크흐/IC
크흐음/IC
크흐흐/IC
큭큭/IC
클클클/IC
키킬킬킬/IC
킥/IC
킥킥킥/IC
킬킬/IC
톡톡톡/IC
팅/IC
팅팅팅/IC
팅팅팅팅팅팅/IC
팅팅팅팅팅팅팅팅팅팅/IC
파이팅/IC
파퍄/IC
팔/IC
퍼펴/IC
퍽퍽/IC
퍽퍽퍽/IC
퍽퍽퍽퍽/IC
포표/IC
푸/IC
푸우/IC
푸퓨/IC
푸하하/IC
푸하하하/IC
푸핫/IC
풋/IC
퓽/IC
프피/IC
피/IC
피이/IC
픽/IC
하/IC
하마/IC
하모/IC
하무요/IC
하뿔싸/IC
하아/IC
하야/IC
하오/IC
하우/IC
하유/IC
하이/IC
하이고/IC
하이고야/IC
하이구/IC
하이구야/IC
하이구우/IC
하이참/IC
하쭈/IC
하하/IC
하하이/IC
하하하/IC
하하하하/IC
하하하하하/IC
하하하하하하/IC
하하핫/IC
하핫/IC
하효/IC
하후/IC
하휴/IC
한/IC
한참/IC
합/IC
합두/IC
핫/IC
핫하하/IC
핫하하하/IC
핫핫/IC
핫핫핫/IC
해/IC
해해해/IC
햇/IC
행이/IC
햐/IC
햐아/IC
허/IC
허걱/IC
허기야/IC
허뿔싸/IC
허어/IC
허억/IC
허우/IC
허이/IC
허이구/IC
허이그/IC
허참/IC
허허/IC
허허허/IC
허허허허/IC
허허헉/IC
헉/IC
헉헉/IC
헌데/IC
험/IC
헛/IC
헛허/IC
헛허허/IC
헛헛/IC
헛헛헛/IC
헤/IC
헤에/IC
헤에야/IC
헤에헤/IC
헤이/IC
헤이야/IC
헤헤/IC
헤헤헤/IC
헤헤헤헤/IC
헥/IC
헬로우/IC
헴/IC
헹/IC
호/IC
호오/IC
호호/IC
호호호/IC
호호호호/IC
화/IC
화악/IC
화이팅/IC
확/IC
후/IC
후아아아아암/IC
후여/IC
후우/IC
후우우/IC
후우우우/IC
후유/IC
후음/IC
후이/IC
후후/IC
후후후/IC
후후훗/IC
후훗/IC
훗/IC
훠이/IC
훠이훠이/IC
휘여/IC
휴/IC
휴우/IC
휴유/IC
흐/IC
흐두두두둑/IC
흐미/IC
흐으/IC
흐으읍/IC
흐윽/IC
흐음/IC
흐읍/IC
흐응/IC
흐하하/IC
흐훗/IC
흐흐/IC
흐흐흐/IC
흐흐흐흐/IC
흐흐흐흐흐/IC
흐흐흐흣/IC
흐흐흑/IC
흐흑/IC
흐흠/IC
흐흥/IC
흑/IC
흑흑/IC
흑흑흑/IC
흑흑흑흑/IC
흠/IC
흠흠/IC
흡/IC
흥/IC
희희희/IC
히/IC
히야/IC
히이/IC
히잉/IC
히히/IC
히히히/IC
히히히이/IC
히히히히/IC
히히히히히/IC
히히히히히히히히/IC
히히힛/IC
히힛/IC
힛힛힛/IC
힝/IC
/undefined
